ablation,n_folds,N_liq_logMAE_mean,N_liq_logMAE_ci95,N_liq_logMAE_liq_mean,N_liq_logMAE_liq_ci95,Traj_RMSE_mean,Traj_RMSE_ci95,Traj_RMSE_continuation_mean,Traj_RMSE_continuation_ci95,Traj_RMSE_late_mean,Traj_RMSE_late_ci95,Traj_RMSE_liq_mean,Traj_RMSE_liq_ci95,Traj_RMSE_stab_mean,Traj_RMSE_stab_ci95,Traj_RMSE_nostab_mean,Traj_RMSE_nostab_ci95,Traj_RMSE_balanced_mean,Traj_RMSE_balanced_ci95,Traj_RMSE_worst_mean,Traj_RMSE_worst_ci95,AUPRC_mean,AUPRC_ci95,AUROC_mean,AUROC_ci95,Brier_mean,Brier_ci95,ECE_mean,ECE_ci95,Coverage_90_mean,Coverage_90_ci95,Calibration_Error_mean,Calibration_Error_ci95,Physics_Violation_Rate_mean,Physics_Violation_Rate_ci95,Traj_CRPS_mean,Traj_CRPS_ci95
blackbox_raw,5,0.9889,0.4934,1.3424,0.5586,0.0797,0.0135,0.088,0.0146,0.1006,0.015,0.0607,0.0123,0.099,0.022,0.1074,0.0602,0.0863,0.0245,0.1155,0.0306,0.999,0.0012,0.9976,0.0031,0.0281,0.015,0.0409,0.0236,0.8728,0.0719,0.0669,0.0381,0.7468,0.2115,0.0482,0.0094
full,5,0.39,0.3182,0.5667,0.3976,0.0859,0.0166,0.0848,0.0139,0.0969,0.0138,0.0627,0.0206,0.1009,0.0278,0.3107,0.1326,0.1416,0.0535,0.2631,0.1388,0.9987,0.0015,0.9972,0.0025,0.0355,0.0143,0.0449,0.0184,0.8464,0.0787,0.0755,0.0554,0.0295,0.0321,0.0438,0.0097
gaussian_posterior,5,0.3758,0.3257,0.5388,0.3839,0.0882,0.0171,0.0881,0.0156,0.1016,0.0149,0.0629,0.0202,0.106,0.0352,0.3104,0.1323,0.1437,0.0537,0.2644,0.1365,0.9983,0.0018,0.9956,0.0043,0.0381,0.0172,0.0492,0.0219,0.8393,0.0912,0.0855,0.0669,0.01,0.0137,0.0449,0.0105
miss_grainsize,5,0.4113,0.2922,0.5939,0.3504,0.0822,0.0168,0.0798,0.0142,0.0909,0.0143,0.0638,0.0186,0.0919,0.0329,0.3139,0.1358,0.1397,0.0546,0.2642,0.1434,0.9991,0.0014,0.9983,0.0025,0.0267,0.0205,0.0353,0.0224,0.8348,0.0868,0.0863,0.0601,0.0109,0.0182,0.0419,0.0087
miss_vs,5,0.4178,0.3012,0.6196,0.3842,0.0836,0.0211,0.0822,0.0197,0.0933,0.0198,0.0652,0.0209,0.0961,0.0361,0.3112,0.135,0.1409,0.0557,0.2623,0.1418,0.9987,0.0015,0.997,0.0026,0.0278,0.0222,0.0369,0.025,0.8219,0.0775,0.0985,0.0458,0.0261,0.0315,0.0429,0.0121
no_aux,5,0.4655,0.3076,0.6722,0.3771,0.0829,0.017,0.081,0.0145,0.092,0.0147,0.0655,0.0203,0.0914,0.0321,0.3107,0.1338,0.1392,0.0536,0.262,0.141,0.9989,0.0016,0.9976,0.0028,0.0297,0.02,0.0385,0.0235,0.8412,0.0838,0.0896,0.0465,0.0318,0.0401,0.0423,0.0086
no_prefix,5,0.4409,0.244,0.6328,0.2833,0.1134,0.0198,0.1134,0.0198,0.129,0.0222,0.0984,0.0226,0.122,0.025,0.3404,0.1289,0.1715,0.0454,0.2968,0.1314,0.9964,0.005,0.9923,0.0098,0.036,0.0323,0.0468,0.0313,0.8702,0.067,0.0659,0.0305,0.044,0.0863,0.061,0.0127
wo_censored_nliq,5,0.1865,0.0881,0.2948,0.1503,0.0797,0.0157,0.0768,0.0126,0.0887,0.0143,0.0622,0.0224,0.0874,0.0288,0.3107,0.1351,0.1368,0.0513,0.2618,0.1418,0.9987,0.0021,0.9974,0.0039,0.0226,0.0234,0.0268,0.0224,0.8431,0.0803,0.0855,0.0483,0.107,0.1627,0.0391,0.0064
wo_conformal,5,0.39,0.3182,0.5667,0.3976,0.0859,0.0166,0.0848,0.0139,0.0969,0.0138,0.0627,0.0206,0.1009,0.0278,0.3107,0.1326,0.1416,0.0535,0.2631,0.1388,0.9987,0.0015,0.9972,0.0025,0.0355,0.0143,0.0449,0.0184,0.7434,0.119,0.1655,0.0993,0.0295,0.0321,0.0442,0.0089
wo_monotone,5,0.39,0.3182,0.5667,0.3976,0.0859,0.0166,0.0848,0.0139,0.0969,0.0138,0.0627,0.0206,0.1009,0.0278,0.3107,0.1326,0.1416,0.0535,0.2631,0.1388,0.9987,0.0015,0.9972,0.0025,0.0355,0.0143,0.0449,0.0184,0.8464,0.0787,0.0755,0.0554,0.0295,0.0321,0.0438,0.0097
wo_ode,5,0.8878,0.3585,1.3445,0.517,0.094,0.0339,0.1021,0.0347,0.1141,0.0346,0.086,0.0374,0.1009,0.0316,0.1195,0.0658,0.0985,0.0406,0.1165,0.0496,0.9955,0.007,0.9901,0.0131,0.0469,0.0291,0.0555,0.0295,0.8826,0.0431,0.0436,0.0159,0.0,0.0,0.0572,0.0218
wo_risk_softauc,5,0.4974,0.5454,0.6808,0.6576,0.0872,0.0194,0.0869,0.0175,0.1018,0.021,0.0625,0.0213,0.1019,0.0307,0.3121,0.1321,0.1424,0.053,0.264,0.1392,0.9941,0.006,0.9796,0.0287,0.0735,0.0489,0.0878,0.0621,0.8285,0.0778,0.0944,0.0443,0.0,0.0,0.0431,0.0087
